,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29
Topic 0,city,chinese,china,music,day,year,country,people,place,world,park,hotel,london,new,visit,beijing,time,travel,song,museum,train,ticket,trip,holiday,art,festival,great,hour,street,bus
Topic 1,computer,phone,people,company,use,car,internet,said,new,online,money,technology,price,information,say,product,buy,business,store,number,service,cost,make,time,percent,used,using,mobile,card,year
Topic 2,child,parent,family,kid,year,mother,old,girl,young,father,school,life,age,home,baby,play,boy,time,woman,say,cat,daughter,tv,day,adult,care,teenager,birthday,help,love
Topic 3,food,people,study,eat,health,researcher,body,scientist,say,brain,sleep,research,human,time,said,disease,day,le,eating,healthy,help,exercise,effect,drink,university,problem,new,likely,make,group
Topic 4,water,people,year,world,animal,plant,tree,air,earth,sea,space,area,bird,fish,country,place,live,make,sun,land,scientist,city,like,way,new,island,time,weather,ice,energy
Topic 5,student,school,teacher,work,year,job,class,university,college,said,high,study,education,time,english,new,country,help,learning,program,course,skill,state,test,learn,need,life,experience,american,working
Topic 6,said,woman,man,dog,men,black,white,old,eye,hand,young,head,saw,animal,foot,took,away,hair,police,left,came,elephant,face,horse,arm,blue,leg,year,shoe,look
Topic 7,book,story,world,read,year,reading,american,movie,film,new,people,time,life,famous,picture,writing,newspaper,writer,war,word,great,star,called,news,work,wrote,reader,prize,character,history
Topic 8,people,make,like,thing,way,good,life,time,friend,think,know,want,say,feel,help,person,word,different,important,english,need,language,try,learn,mean,game,better,talk,use,look
Topic 9,day,said,time,mr,like,man,asked,home,went,friend,know,got,house,good,old,little,told,came,boy,thing,year,money,work,going,come,want,say,morning,father,room
