,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,city,chinese,china,music,day,year,country,people,place,world,park,hotel,london,new,visit
Topic 1,computer,phone,people,company,use,car,internet,said,new,online,money,technology,price,information,say
Topic 2,child,parent,family,kid,year,mother,old,girl,young,father,school,life,age,home,baby
Topic 3,food,people,study,eat,health,researcher,body,scientist,say,brain,sleep,research,human,time,said
Topic 4,water,people,year,world,animal,plant,tree,air,earth,sea,space,area,bird,fish,country
Topic 5,student,school,teacher,work,year,job,class,university,college,said,high,study,education,time,english
Topic 6,said,woman,man,dog,men,black,white,old,eye,hand,young,head,saw,animal,foot
Topic 7,book,story,world,read,year,reading,american,movie,film,new,people,time,life,famous,picture
Topic 8,people,make,like,thing,way,good,life,time,friend,think,know,want,say,feel,help
Topic 9,day,said,time,mr,like,man,asked,home,went,friend,know,got,house,good,old
