,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,cab,database,comprehend,exceeds,columbus,bristol,capacity,exist,fence,excellent,closed,combat,deception,camped,fighting
Topic 1,enjoyed,downside,eu,artist,chairman,asthma,biting,chair,carbon,fancy,ashamed,downturn,evidence,construct,enjoys
Topic 2,contributor,domestic,flood,bright,bangladesh,avoids,andes,fined,advisor,balcony,expected,critical,car,agrees,antonio
Topic 3,arnold,czech,click,bred,downside,access,account,followed,contributor,channel,centimetre,creek,collar,continuing,fable
Topic 4,bluetooth,coached,flashed,elli,collar,collecting,elvis,bmi,burger,elton,bearing,eu,colleague,actually,burglar
Topic 5,arthur,flee,cookery,foam,database,communicated,correspondent,deeper,daily,away,charlie,feast,advertisement,folk,couch
Topic 6,bun,biological,biologist,connie,fatigue,celebration,consecutive,caffeine,disruptive,brigham,bestseller,angela,beaten,database,combat
Topic 7,enjoys,disobey,andrea,celebrate,database,domestic,fancy,disney,debate,behaves,busier,doubted,dr,ape,district
Topic 8,billy,defect,eliminating,extended,defeat,ache,dr,contribute,enthusiastically,coma,blowing,flee,calling,affect,confidently
Topic 9,apparent,better,disturb,betty,explored,annually,beth,ability,fatness,alternative,explores,delegation,ending,ethiopia,enforced
Topic 10,amusing,digging,digestion,enduring,coloured,digger,fluency,fluently,coyote,flu,flashed,customary,agency,council,digestive
Topic 11,bell,decides,applying,curry,charming,channel,escalator,addicted,civilian,chatted,fellow,delegation,educates,fixed,annually
Topic 12,edison,country,charlotte,alexander,bangladesh,amsterdam,exist,edit,camped,contributing,bottleneck,ass,advocating,coma,cane
Topic 13,deck,attic,chunk,continent,cruelty,attacking,continental,farther,evacuation,choked,approve,fascinating,approval,compose,anticipate
Topic 14,fixing,considerable,classed,considerably,flashlight,crime,canberra,broadband,conception,checkout,fondly,followed,account,appearance,debate
Topic 15,cookie,electrode,ebola,cooking,echo,defensive,declining,airbus,cooky,attractive,commentary,disturbing,elegant,combat,delighted
Topic 16,conversion,carnival,educator,convey,conveyed,anniversary,amaze,converted,finnish,coolest,convert,conveying,charming,cane,doubted
Topic 17,arrange,aroused,alison,domestic,away,arranged,foam,database,bahamas,duke,determination,cara,fooling,actually,colour
Topic 18,concerning,cricket,creek,following,followed,domestic,continuing,advisor,conclude,andes,fined,antonio,eco,critical,companionship
Topic 19,california,emit,defensive,defined,eur,ala,bunny,defining,aimed,combat,effort,evergreen,fable,andes,click
Topic 20,fight,buchanan,drain,distrust,clue,bestseller,creamy,bestselling,amid,ashley,bet,ache,eric,albany,farther
Topic 21,addicted,aluminum,blessing,footed,embarrass,chatted,applying,firewood,exhibited,alberta,decides,buchanan,comfortably,contract,extended
